month,total.total,timeRange.start,timeRange.end
2001-09-09T00:00:00.000Z,86,2001-09-09T00:00:00.000Z,2001-09-10T00:00:00.000Z
2001-09-10T00:00:00.000Z,192,2001-09-10T00:00:00.000Z,2001-09-11T00:00:00.000Z
2001-09-11T00:00:00.000Z,177,2001-09-11T00:00:00.000Z,2001-09-12T00:00:00.000Z
2001-09-12T00:00:00.000Z,161,2001-09-12T00:00:00.000Z,2001-09-13T00:00:00.000Z
2001-09-13T00:00:00.000Z,169,2001-09-13T00:00:00.000Z,2001-09-14T00:00:00.000Z
2001-09-14T00:00:00.000Z,162,2001-09-14T00:00:00.000Z,2001-09-15T00:00:00.000Z
2001-09-15T00:00:00.000Z,206,2001-09-15T00:00:00.000Z,2001-09-16T00:00:00.000Z
2001-09-16T00:00:00.000Z,170,2001-09-16T00:00:00.000Z,2001-09-17T00:00:00.000Z
2001-09-17T00:00:00.000Z,261,2001-09-17T00:00:00.000Z,2001-09-18T00:00:00.000Z
2001-09-18T00:00:00.000Z,208,2001-09-18T00:00:00.000Z,2001-09-19T00:00:00.000Z
2001-09-19T00:00:00.000Z,224,2001-09-19T00:00:00.000Z,2001-09-20T00:00:00.000Z
2001-09-20T00:00:00.000Z,190,2001-09-20T00:00:00.000Z,2001-09-21T00:00:00.000Z
2001-09-21T00:00:00.000Z,182,2001-09-21T00:00:00.000Z,2001-09-22T00:00:00.000Z
2001-09-22T00:00:00.000Z,195,2001-09-22T00:00:00.000Z,2001-09-23T00:00:00.000Z
2001-09-23T00:00:00.000Z,187,2001-09-23T00:00:00.000Z,2001-09-24T00:00:00.000Z
2001-09-24T00:00:00.000Z,330,2001-09-24T00:00:00.000Z,2001-09-25T00:00:00.000Z
2001-09-25T00:00:00.000Z,440,2001-09-25T00:00:00.000Z,2001-09-26T00:00:00.000Z
2001-09-26T00:00:00.000Z,491,2001-09-26T00:00:00.000Z,2001-09-27T00:00:00.000Z
2001-09-27T00:00:00.000Z,384,2001-09-27T00:00:00.000Z,2001-09-28T00:00:00.000Z
2001-09-28T00:00:00.000Z,461,2001-09-28T00:00:00.000Z,2001-09-29T00:00:00.000Z
2001-09-29T00:00:00.000Z,278,2001-09-29T00:00:00.000Z,2001-09-30T00:00:00.000Z
2001-09-30T00:00:00.000Z,416,2001-09-30T00:00:00.000Z,2001-10-01T00:00:00.000Z
2001-10-01T00:00:00.000Z,510,2001-10-01T00:00:00.000Z,2001-10-02T00:00:00.000Z
